"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bosnia and Herzegovina","BIH","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","760","1010","1330","1400","1490","1610","1770","2040","2590","3180","3510","3920","4730","4970","4950","5010","4990","5270","5300","5210","5130","5110","5740","",
"Belarus","BLR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1790","1600","1450","1360","1450","1530","1550","1400","1380","1300","1380","1630","2170","2810","3520","4310","5500","5700","6150","6260","6610","7010","7590","6710","5620","5300","5700","",
"Belize","BLZ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","330","340","350","370","390","420","420","420","420","450","520","600","730","840","800","850","930","1120","1420","1430","1290","1150","1160","1200","1350","1610","1870","2080","2260","2420","2680","2790","2770","2860","2880","2890","2780","2880","3150","3140","3220","3450","3590","3670","3780","3730","3930","4120","3930","4080","4120","4170","4230","4420","4330","4290","4470","",
"Bermuda","BMU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","2170","2160","2360","2460","2830","3210","3240","3340","3570","4010","4550","5430","6490","7570","8290","8960","9680","10700","12790","14120","13710","14820","16510","17870","21170","24040","26620","26500","27060","27400","29000","30890","31730","34290","","","","","","","","","","","","117640","120490","111580","110440","107530","106080","106140","","","","","","",
"Bolivia","BOL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","550","580","650","760","820","900","860","840","850","840","740","720","710","720","720","740","770","790","810","850","900","950","990","980","980","950","920","910","950","1020","1110","1220","1480","1620","1780","1990","2250","2590","2830","2960","3040","3090","3370","",
"Brazil","BRA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","280","310","370","410","450","510","590","760","980","1180","1360","1490","1680","1970","2200","2090","2010","1730","1630","1580","1800","2050","2260","2760","2730","3280","3170","3090","3030","3760","4460","5020","4840","4120","3930","3350","3090","2980","3340","4000","4850","6190","7620","8320","9650","11080","12310","12790","12120","10190","8920","8700","9080","",
"Barbados","BRB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","5000","5670","6290","6660","6810","7140","7450","7640","7980","8380","8820","9240","9620","10020","11000","10850","10880","11540","12550","13520","14240","15580","16170","15820","15570","15060","15920","15460","15320","15270","14880","15000","15410","",
"Brunei Darussalam","BRN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12090","12460","13580","15160","15030","15090","15680","16210","16220","14420","14040","14680","16070","17140","17810","19990","23090","27580","30930","34150","32460","33300","35520","42370","45320","43140","38830","33160","29800","29660","",
"Bhutan","BTN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","290","270","300","300","350","490","550","570","580","500","470","440","470","490","530","580","550","580","730","770","810","910","1030","1200","1330","1640","1770","1860","2040","2240","2390","2410","2460","2520","2650","2800","2970","",
"Botswana","BWA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","80","80","90","90","100","100","120","140","160","200","260","350","440","520","540","580","690","890","1110","1340","1290","1170","1090","1070","1150","1340","1980","2320","2720","3070","3270","3330","2960","3260","3180","3330","3210","3150","3170","3260","2930","3370","3920","4940","5440","5730","5740","5330","5650","6850","7800","8000","7840","6960","6880","7020","7750","",
"Central African Republic","CAF","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","80","80","80","90","90","100","100","110","110","110","120","140","170","190","210","240","280","310","360","350","340","270","270","290","340","420","490","490","480","480","470","450","370","350","300","300","280","280","260","260","250","260","300","340","350","380","420","480","510","530","570","380","390","400","410","440","490","",
"Canada","CAN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","4010","4360","5010","6050","7180","8010","8770","9120","9750","10600","11600","12380","11900","12190","13150","13940","14570","16330","18620","19860","20640","20980","21410","21270","20890","20850","20810","21330","20760","21210","22620","23030","23620","25860","29900","34800","38500","43080","45640","43230","44480","47190","51080","52810","52190","47590","43880","42950","44950","",
"Central Europe and the Baltics","CEB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2213.96382187637","2412.99776086816","2701.96897546878","3132.78527214048","3578.83673106084","3799.10084407623","3844.26740531761","3897.52352642324","4081.40755352956","4161.4309318407","4419.83340650018","5179.34018725964","6370.90397326531","7726.3413315265","8859.03477700716","10323.9615422289","12380.857436045","12741.1055862292","12760.3323928737","12908.2821748657","13063.3866593758","13416.5485811169","13557.5603992542","13215.9619330799","12837.5886246243","13024.1268668628","14561.2192871849","",
"Switzerland","CHE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","5370","7040","9040","10250","10910","12040","14010","17500","21720","21340","19120","17740","17980","18080","20360","25650","33650","35250","36930","37550","40920","40820","41900","45450","48360","48030","44940","43100","43520","40930","39700","45620","53800","61620","63990","62830","63190","70370","77570","79720","84880","88740","86560","85800","82110","81120","84450","",
"Channel Islands","CHI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42510","41460","40720","43340","50340","56270","60750","66230","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","580","630","670","670","750","760","780","830","880","1060","1150","1360","1650","1150","1010","1060","1360","1790","2300","2780","2280","1820","1590","1430","1470","1660","1930","2200","2350","2600","3120","3440","3730","4420","5070","5590","5490","5120","5060","4800","4540","4510","5190","6210","7340","8690","10050","9950","10750","12340","14350","15270","14990","14140","13420","13290","14670","",
"China","CHN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","70","80","90","100","110","100","90","110","120","130","130","160","180","200","190","190","200","210","220","220","220","220","250","290","310","320","330","320","330","350","390","420","470","540","650","750","800","860","940","1010","1110","1280","1510","1760","2060","2510","3100","3680","4340","5050","5930","6770","7500","7910","8210","8650","9460","",
"Cote d'Ivoire","CIV","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","160","180","220","210","230","240","270","280","300","300","320","380","480","600","680","780","950","1130","1160","1130","960","720","660","640","730","810","910","830","780","760","780","750","680","700","720","760","760","730","640","590","560","620","770","930","930","960","1070","1160","1190","1120","1230","1320","1450","1480","1490","1480","1600","",
"Cameroon","CMR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","110","130","160","170","170","190","210","280","350","340","340","520","630","630","840","850","780","780","800","930","1040","1130","1070","940","890","890","930","890","840","740","720","710","710","670","640","630","730","910","1010","1060","1110","1240","1320","1330","1350","1360","1430","1480","1440","1380","1340","1440","",
"Congo, Dem. Rep.","COD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","150","130","120","120","110","130","140","190","170","190","200","230","260","290","300","320","340","380","410","440","460","470","460","490","",
"Congo, Rep.","COG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","150","150","160","170","180","190","200","220","220","230","270","340","420","500","480","450","490","610","830","1090","1220","1080","1060","990","980","1050","930","940","930","960","1060","800","680","430","470","590","580","490","560","630","670","690","770","950","1180","1350","1790","1880","2120","2120","2390","2490","2590","2410","1820","1480","1640","",
"Colombia","COL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","280","280","310","310","320","300","300","320","330","360","390","460","550","590","620","690","850","1060","1250","1350","1330","1280","1280","1210","1220","1240","1300","1250","1330","1380","1560","1740","2050","2350","2540","2660","2570","2330","2340","2330","2370","2370","2620","2990","3500","4120","4700","5130","5610","6320","7290","7910","8190","7330","6460","5930","6180","",
"Comoros","COM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","660","590","550","550","620","780","960","930","980","950","1100","1080","870","850","780","790","730","700","730","700","680","780","940","1090","1130","1160","1290","1370","1380","1400","1420","1490","1480","1380","1320","1280","1380","",
"Cabo Verde","CPV","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","510","470","450","450","510","650","840","900","900","910","1040","1190","1300","1410","1350","1350","1330","1370","1410","1350","1300","1520","1900","2160","2300","2820","3300","3480","3400","3510","3440","3490","3360","3210","3130","3080","3420","",
"Costa Rica","CRI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","360","350","350","370","390","410","440","470","520","570","630","760","880","970","1050","1250","1480","1740","1950","1420","1020","940","1110","1240","1440","1600","1650","1660","1750","1950","2340","2720","2960","3170","3220","3330","3380","3440","3550","3660","3750","4010","4360","4620","5030","5640","6370","6490","7180","8000","9150","9740","10090","10400","10770","11090","11520","",
"Caribbean small states","CSS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","660.726620845258","691.482111969037","742.611072397848","785.175880245539","932.106243168728","1033.64020196707","1220.29834418806","1544.5710024064","1570.06402258829","1691.40949365237","1856.22826716688","2030.82068969562","2344.78825202955","2609.23030709541","2775.49620358008","2638.04347257057","2592.49625554254","2550.61115776233","2469.90568966148","2526.36723807576","2734.30087856205","2770.27409588129","2781.36407387441","2790.80936262236","2904.98923448955","2948.48186563983","2986.76089271053","3350.73429015466","3652.59960098866","3798.63346275429","4054.17930898175","4529.86184717116","4845.20768884787","4981.89130855007","5188.01735186255","5654.16336416653","6283.15857509567","6839.48749194294","7561.46782599106","8236.34326826909","9036.55272589948","8677.38374318546","8765.98185566062","8614.94136709886","9315.32666698613","9715.49638031529","9648.99598077216","9676.42194905469","9086.55633014167","9008.39727099925","9240.08567263888","",
"Cuba","CUB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","850","1040","1240","1500","1550","1600","1790","1990","2140","2430","2340","2180","2310","2310","2390","2490","2780","2750","2650","2340","2130","1870","2140","2550","2710","2500","2240","2400","2620","2760","2820","3100","3490","3960","4530","5000","5460","5520","5610","5930","6280","6640","6840","7230","7480","","","",
"Curacao","CUW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19940","19850","19640","19070","19070","","",
"Cayman Islands","CYM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70220","71040","49570","44030","42930","44370","45730","47140","","",
"Cyprus","CYP","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","1520","1800","2400","3390","4050","4490","4220","4360","4480","5020","6300","7910","8570","9300","9460","11020","10970","11680","12810","13880","14280","15490","14340","14180","14170","14510","16710","20260","23990","25600","27340","31970","32780","32040","32550","29680","27830","26510","25960","24700","24580","28570","",
"Czech Republic","CZE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3340","3480","4140","5110","5950","6130","6080","6090","6330","6330","6630","8080","10230","12420","13950","15780","18340","18690","19280","19420","19350","19270","18800","18260","17590","17970","20230","",
"Germany","DEU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","3600","4670","5800","6720","7130","7670","8870","11050","13010","12540","11120","10020","9880","9840","11240","14240","18620","19760","21300","22890","25810","25990","27530","29520","30870","30140","27950","26840","26150","24740","23620","26070","31570","35710","38230","40440","43570","43520","44550","47220","46530","47190","47620","45850","44290","43640","47110","",
"Djibouti","DJI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2740","2890","3000","3190","",
"Dominica","DMA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","710","960","1150","1200","1220","1330","1480","1780","2160","2560","2600","2810","2950","3200","3400","3490","3710","3880","4010","4190","4200","4220","4460","4260","4670","4950","5050","5480","5750","6340","6520","6720","6920","6720","6820","6750","6670","6790","7790","7090","",
"Denmark","DNK","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","2870","3140","3310","3670","4310","5580","6800","8080","8960","9780","11170","13560","15090","14180","12860","11710","11520","11840","14070","17760","22130","23050","24370","25540","28700","28570","30360","32560","34770","35150","33460","33060","32580","31410","30850","34750","42640","49610","53540","55740","60390","60090","61220","61990","61650","63200","63670","60510","57880","56340","60170","",
"Dominican Republic","DOM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","220","240","260","230","250","250","250","280","340","370","430","520","610","710","780","830","900","1030","1140","1210","1240","1240","1300","1100","1030","940","920","910","870","1040","1340","1610","1740","1960","2170","2360","2450","2540","2680","2740","2900","2660","2590","3080","3680","4450","4770","4920","5330","5540","5790","6030","6330","6580","6860","7090","7760","",
"Algeria","DZA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","190","230","240","250","230","250","280","310","330","320","440","530","710","910","1060","1100","1320","1640","1990","2200","2260","2190","2270","2400","2590","2810","2750","2550","2370","1980","1900","1730","1620","1550","1520","1510","1540","1530","1590","1670","1730","1930","2250","2710","3100","3600","4220","4290","4480","4600","5170","5510","5490","4850","4370","3920","","",
"East Asia & Pacific (excluding high income)","EAP","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","71.3057136921875","77.568833240649","86.2330860255248","97.7052451313301","105.712934791212","99.7072252417205","96.5361507348535","108.16911269669","121.159254482196","124.570828269397","131.551898885877","158.837598072654","185.9142250235","216.308633503927","211.539876105874","224.982035372166","238.525737100387","263.462299181215","291.26828031883","308.226571287837","307.686677611186","303.756572433958","321.874357436046","344.396737172537","365.776231570554","382.105726049945","401.646078016662","403.368742799505","418.787192175327","448.981174971307","498.526015459797","541.442303120608","607.887315716631","699.242953873378","813.855697691332","882.192989050623","828.320819158664","852.508036669618","913.978065007503","985.605210139054","1067.04615098472","1212.11573406451","1425.5746352884","1639.25910956737","1896.53726638884","2275.56827318112","2772.696908265","3218.36144905653","3763.22967188086","4345.69104876327","5079.63577517414","5714.04443252384","6206.90618616117","6456.31400496988","6648.28177397417","6960.81874782811","7600.54487455459","",
"Early-demographic dividend","EAR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","169.550384067369","180.525953807034","184.608774971467","188.231553085958","194.143615990655","207.784164479572","219.277212017807","232.021657893752","248.986640347425","296.715143872776","379.506544972317","456.667611723456","501.04528087415","514.31531871012","548.926890153971","640.052342667301","756.598048996464","854.837050007316","835.738075593472","777.140057972831","749.55345900281","749.741126280511","772.952460657547","810.337790548834","838.90179198262","808.174575479461","844.299025554699","886.103026327198","980.502518279225","1034.44564102263","1087.68598390533","1112.0946188858","1164.43023206796","1202.08151580301","1171.99705504529","1184.4523746727","1248.43954068699","1264.74550122947","1232.89448441368","1309.58797070968","1484.46312306624","1697.31910420499","1904.74281844906","2154.47924253559","2414.48379753054","2499.81484999682","2726.78327620358","2970.67427016631","3278.48182467995","3416.43221174721","3454.09081189202","3373.74554689553","3336.8616267254","3379.88847367953","3567.72447179172","",
"East Asia & Pacific","EAS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","142.71912769207","156.135424546915","174.730431164758","193.49937998518","212.759355742321","223.770224483407","242.944487339959","276.449328662628","304.607090450876","333.883932414736","393.604966412856","500.675544476784","607.061221539827","706.698832377943","731.593368720622","790.435654216614","932.893972287774","1132.68684379933","1286.13046787571","1336.79679427901","1288.82659759604","1254.9439302334","1294.62550313375","1380.40039650808","1585.90525629684","1936.70900910694","2473.8768699632","2651.93556563258","2754.0276854268","2862.88096110935","3064.44165142623","3313.77086637794","3635.77858335119","4096.93642685174","4303.91248709702","4175.57525160047","3658.14430770526","3621.16103648472","3832.27045621309","3916.83286327813","3871.36339621304","4052.31039978563","4557.02928097203","4986.1518880568","5272.50546982803","5642.06103033155","6152.16770714797","6504.36328513825","7319.77583565009","8119.68928616244","9087.44088492874","9688.20879758778","9908.37301642376","9783.16939726232","9837.70423420706","10151.9845891147","10982.6998003533","",
"Europe & Central Asia (excluding high income)","ECA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2304.30062614485","2177.97233686066","2094.80989091367","1877.99952213406","1912.25114068724","1923.71861281202","1995.54497838121","1839.02602758509","1702.28839064757","1788.20006234454","1706.26956073714","1864.55690046311","2201.60854632716","2894.22434253808","3735.35751952277","4634.01327445123","5764.62067243037","7056.17699151633","6967.50799167171","7453.18985396339","8086.03643210066","9265.8792011682","10227.2857157013","10155.481988492","8818.34768735273","7722.10245989146","7415.2818007259","7820.77958880535","",
"Europe & Central Asia","ECS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","1732.25783333312","2196.13548535299","2680.00174286337","3086.02624844845","3261.75073155","3481.04309842993","3937.24053570785","4868.7980672604","5834.9686420371","5860.68503478354","5364.75583809666","4800.86694258319","4630.54370758919","4615.6885072366","5276.78796710421","6666.63708175552","8549.0008605881","9131.81663309817","9803.43002190296","10414.0254799475","11485.6231753543","11310.1006383696","11504.3774128576","11998.6993375406","12717.8097987974","12959.0898038596","12577.0655142102","12452.8165815262","12530.2215941729","12129.5448126033","12057.0468093575","13631.493964294","16575.9392540396","19222.305822728","20833.1491192761","22552.2584192047","24555.3498042488","24312.7514491685","24504.9117642459","24983.4587666855","25292.6854831501","25992.0469088624","26018.1633074411","24646.6071002471","23344.4691668919","22828.5913811457","24350.6657763366","",
"Ecuador","ECU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","380","350","380","430","450","460","470","500","520","510","510","600","830","1090","1280","1360","1550","1820","2110","2460","2390","2110","1890","1820","1770","1640","1510","1360","1370","1480","1600","1670","1820","1970","2080","2180","2160","1780","1550","1550","1730","2110","2550","2880","3100","3310","3860","4060","4390","4870","5390","5810","6110","5970","5810","5860","6110","",
"Egypt, Arab Rep.","EGY","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","170","180","190","220","240","260","290","300","330","350","370","390","420","490","520","550","560","640","680","740","870","840","780","760","750","750","760","820","920","1020","1130","1210","1310","1420","1430","1360","1290","1230","1230","1320","1530","1840","2120","2370","2560","2840","3030","3230","3360","3460","3040","2800","",
